Property ID,Property Type,Bedrooms,Bathrooms,Floor Area,Postcode,Published Date,Price,Tenure,Council Tax Band,Parking,Garden,Distance From Nearest Station,Marketed By
149673035,Flat,1,1,46,E3,2024-07-02,336000,Leasehold,D,False,True,0.3, Gateway Capital Property
148381085,Apartment,16,1,768,E14,2024-05-24,7350000,0,0,True,False,0.1, Ernest Brooks International
149285480,Penthouse,3,4,272,EC1V,2024-06-18,6750000,Leasehold,0,False,False,0.7, Savills New Homes
149955692,Terraced,5,4,403,E1,2024-07-08,5750000,Freehold,H,False,True,0.3, Inigo
148905341,Penthouse,2,2,208,E14,2024-06-07,5100000,Leasehold,0,True,True,0.3, CBRE Residential
147829751,Penthouse,2,3,193,E14,2024-05-10,4700000,0,0,True,True,0.2, Canary Wharf Group
148905539,Penthouse,2,3,194,E14,2024-06-07,4700000,Leasehold,0,True,True,0.2, CBRE Residential
148905803,Penthouse,2,3,197,E14,2024-06-07,4400000,Leasehold,0,True,True,0.3, CBRE Residential
148184111,Flat,2,2,96,E14,2024-05-20,4100000,Leasehold,0,True,True,0.2, Knight Frank - New Homes
148905935,Penthouse,2,3,152,E14,2024-06-07,3950000,Leasehold,0,True,True,0.3, CBRE Residential
147829967,Penthouse,2,3,152,E14,2024-05-10,3950000,0,0,True,True,0.2, Canary Wharf Group
143712752,Terraced,5,4,240,E1W,2024-01-16,3600000,Leasehold,H,True,True,0.2, Story of Home
146245778,Terraced,5,5,315,E1,2024-03-28,3500000,Freehold,H,False,False,0.2, The Bespoke Agent
148931819,Apartment,3,3,197,0,2024-06-09,3300000,Leasehold,H,True,False,0.1, Guide Point Properties Limited
146697059,Terraced,8,4,478,0,2024-04-11,3250000,Freehold,F,True,True,0.1, Strutt & Parker
135891860,Terraced,6,3,409,E1,2023-06-08,3250000,Freehold,H,False,True,0.0, Barnes International Realty
147226097,Flat,3,2,271,E14,2024-04-24,3200000,Leasehold,0,True,True,0.3, Chestertons
147727568,Flat,3,3,182,E1W,2024-05-08,3200000,Leasehold,H,True,True,0.2, Hamptons
148701776,Flat,4,3,192,E14,2024-06-03,3000000,Leasehold,H,True,True,0.1, Hamptons
139254245,Flat,3,3,187,E1W,2023-09-13,3000000,Leasehold,H,True,True,0.0, Hamptons
145544129,Penthouse,3,3,144,0,2023-09-08,3000000,Leasehold,0,True,False,0.2, Nest Seekers International
146292470,Semi-Detached,4,4,192,E14,2024-03-29,2850000,Freehold,F,False,True,0.3, Knight Frank
147109634,Apartment,2,2,71,E3,2024-04-22,262500,Leasehold,0,False,False,0.2, Guinness Homes
145708190,Flat,2,2,127,E14,2024-03-13,2700000,Leasehold,G,True,True,0.2, Hamptons
140804738,Apartment,3,4,144,E1W,2023-10-04,2700000,Leasehold,H,False,False,0.3, Regent Letting and Property Management
140509295,Flat,3,3,144,E1W,2023-09-27,2700000,Leasehold,0,True,True,0.4, Imperial Dragon Property Management
145944788,Apartment,3,3,144,0,2024-03-20,2650000,Share of Freehold,0,True,False,0.3, Circa London
145930178,Apartment,3,3,157,E1W,2024-03-20,2650000,Share of Freehold,H,True,False,0.3, Cluttons
145298213,Apartment,3,2,111,E14,2024-03-01,2500000,0,0,True,False,0.3, Ernest Brooks International
147392270,Detached,3,2,219,E1W,2024-04-29,2500000,Freehold,H,True,True,0.3, Savills
